Ranking,Language,Creator,Year_Created,Paradigm,Rating,Change_Rate,Primary_Use,Typing
1,Python,Guido van Rossum,1991,"Multi-paradigm",21.8,3.6,"AI, Data Science, Web Development, Automation",Dynamic
2,C,Dennis Ritchie,1972,"Procedural",11.1,0.6,"Operating Systems, Embedded Systems, Drivers",Static
3,C++,Bjarne Stroustrup,1985,"Multi-paradigm",8.6,-1.4,"Video Games, Graphics Engines, High-Performance Systems",Static
4,Java,James Gosling,1995,"Object-oriented",8.1,-1.1,"Enterprise Systems, Android Applications, Backend",Static
5,C#,Anders Hejlsberg,2000,"Object-oriented",6.8,0.0,".NET Development, Video Games (Unity), Enterprise Applications",Static
6,JavaScript,Brendan Eich,1995,"Multi-paradigm",2.9,-0.4,Frontend and Backend Web Development (Node.js),Dynamic
7,Visual Basic,Microsoft,1991,"Object-oriented",2.8,0.7,"Desktop Applications, Office Automation (VBA)",Static
8,R,Ross Ihaka and Robert Gentleman,1993,"Functional",2.2,0.5,"Statistical Analysis, Bioinformatics, Data Mining",Dynamic
9,SQL,Donald Chamberlin,1974,"Declarative",1.9,0.0,Relational Database Management and Querying,N/A
10,Delphi/Object Pascal,Anders Hejlsberg,1995,"Object-oriented",1.8,0.4,"Desktop Applications, Enterprise Software",Static
11,Perl,Larry Wall,1987,"Multi-paradigm",1.7,-0.2,"System Administration, Text Processing, Scripting",Dynamic
12,Fortran,John Backus,1957,"Procedural",1.5,0.0,"Scientific Computing, High-Performance Computing (HPC)",Static
13,Rust,Graydon Hoare,2015,"Multi-paradigm",1.3,0.3,"Systems Programming, Secure Software, WebAssembly",Static
14,MATLAB,Cleve Moler,1984,"Multi-paradigm",1.3,-0.1,"Numerical Computing, Engineering, Simulation",Dynamic
15,Go,"Robert Griesemer",2009,"Multi-paradigm",1.2,-0.5,"Cloud Infrastructure, Microservices, DevOps",Static
